last_file_found,ps3_name,auto,naegles,final_choice,status
unknown,001a,NO_MATCH,gk3,gk3,NAEGLES
unknown,001b,NO_MATCH,gk3,gk3,NAEGLES
unknown,002a,NO_MATCH,m_hi3,m_hi3,NAEGLES
unknown,002b,NO_MATCH,m_hi3,m_hi3,NAEGLES
unknown,003,NO_MATCH,bg_210,bg_210,NAEGLES
unknown,004,NO_MATCH,m_hi4,m_hi4,NAEGLES
unknown,004b,NO_MATCH,m_hi4,m_hi4,NAEGLES
unknown,006,NO_MATCH,mati_o1,mati_o1,NAEGLES
unknown,008,NO_MATCH,gk3,gk3,NAEGLES
unknown,009b,NO_MATCH,mati2,mati2,NAEGLES
unknown,010,NO_MATCH,bg_210,bg_210,NAEGLES
unknown,011d,NO_MATCH,jyt1,jyt1,NAEGLES
unknown,011e,NO_MATCH,jyt1,jyt1,NAEGLES
unknown,011f,NO_MATCH,jyt1,jyt1,NAEGLES
unknown,025,NO_MATCH,bg_031,bg_031,NAEGLES
unknown,029,NO_MATCH,jsa3,jsa3,NAEGLES
unknown,031,NO_MATCH,ma_j3,ma_j3,NAEGLES
unknown,033a,NO_MATCH,ma_g3,ma_g3,NAEGLES
unknown,033b,NO_MATCH,ma_g3,ma_g3,NAEGLES
unknown,033c,NO_MATCH,ma_g3,ma_g3,NAEGLES
unknown,033d,NO_MATCH,ma_g3,ma_g3,NAEGLES
unknown,038a,NO_MATCH,bg_071,bg_071,NAEGLES
unknown,038b,NO_MATCH,bg_071,bg_071,NAEGLES
unknown,038c,NO_MATCH,bg_071,bg_071,NAEGLES
unknown,043a,NO_MATCH,gk1,gk1,NAEGLES
unknown,043b,NO_MATCH,gk1,gk1,NAEGLES
unknown,046,NO_MATCH,oki_g3,oki_g3,NAEGLES
unknown,07thlogo,NO_MATCH,07thlogo,07thlogo,NAEGLES
unknown,101,NO_MATCH,hi6,hi6,NAEGLES
unknown,102,NO_MATCH,m_hi3,m_hi3,NAEGLES
unknown,103a,NO_MATCH,bg_247,bg_247,NAEGLES
